,created_at,text
72,Sat Dec 05 19:12:11 +0000 2015,RT @isai_: #ChennaiVolunteer #ChennaiRainsHelp 🙏 https://t.co/nryNTjUEW3
73,Sat Dec 05 19:12:12 +0000 2015,"RT @kavitha129: This might be helpful if works
#ChennaiFloods https://t.co/kQYsmOXOzd"
74,Sat Dec 05 19:12:13 +0000 2015,"RT @ExSecular: Tamil actors are so down to earth &amp; real,did not hesitate to come out &amp; help common ppl,No wonder fans build temples for the…"
75,Sat Dec 05 19:12:13 +0000 2015,RT @smritigitpal: Distributing Foodpacket in various areas!If any one need food pls call 8760022703. #ChennaiFloods #ChennaiRainsHelp https…
76,Sat Dec 05 19:12:14 +0000 2015,RT @pisaasu: atlast the team #ChennaiRainsHelp #ChennaiFloods https://t.co/8gZAXqygYh
77,Sat Dec 05 19:12:16 +0000 2015,#ChennaiFloods Chennai flood heavy rain https://t.co/QEidXbIiPD #News #India #Retweet #Kerala https://t.co/j8OaJ0NT2N
78,Sat Dec 05 19:12:24 +0000 2015,RT @veeshangwd: #royapettah food available 60 food pavailable 60 packets pl Call Bala 8220833797Location: British council #chennaifloods #c…
79,Sat Dec 05 19:12:24 +0000 2015,"Need cut vegetables and make chapati @ Avichi School, Saligramam, approx 10-10.30am start work.  #chennairains #ChennaiFloods"
80,Sat Dec 05 19:12:25 +0000 2015,"RT @Manivj07: This news was also a fake one !?!!!!!
(Uploaded feb26 on fb)Confused what 2 share&amp;what not 2share
 #chennaifloods https://t.c…"
81,Sat Dec 05 19:12:30 +0000 2015,"RT @albertindian200: #ChennaiRainsHelp #chennaifloods #ChennaiVolunteer #chennairain #chennairains

guys for you https://t.co/ATpUhvUFof"
82,Sat Dec 05 19:12:30 +0000 2015,RT @balaji_seo: Near Thambaram @emceeaarjay  https://t.co/rASBl4gV57
83,Sat Dec 05 19:12:32 +0000 2015,RT @RanaDaggubati: Thank you Varun for stepping fwd in these terrible times!! #ManaMadrasKosam #ChennaiRainsHelp  https://t.co/1dqWXOnCXD
84,Sat Dec 05 19:12:33 +0000 2015,"#ChennaiFloods #ChennaiRainsHelp here's another way you can #HelpChennai 
Thank you #PrayForChennai ♡ https://t.co/NF69cbTApg"
85,Sat Dec 05 19:12:33 +0000 2015,RT @SLDFC: #ChennaiFloods #Dhanush helping for peoples Hats off @dhanushkraja #LetsPrayForTamilNadu soon recover #godbless https://t.co/Kim…
86,Sat Dec 05 19:12:35 +0000 2015,"@Actor_Siddharth Chennaifloods இருபதாயிரம் போர்வைகள் உள்ளது தொடர்பு நபர் மற்றும் எண் ஆனந்த் .224,அண்ணாசாலை பிரிட்டிஷ் கவுன்சில் 9840072276"
87,Sat Dec 05 19:12:36 +0000 2015,What a Shame  https://t.co/A53n9lHqWe
88,Sat Dec 05 19:12:37 +0000 2015,"RT @MADEMovement_: Our prayers are with those in #Chennai, we pray they pull through this crisis. #ChennaiFloods"
89,Sat Dec 05 19:12:38 +0000 2015,RT @srpchennai: Accommodation n Food available for 50 ppl in Royapettah and Adyar Contact Rajeswari 8056266296 @actor_viishnu @selvaraghava…
90,Sat Dec 05 19:12:38 +0000 2015,"RT @kamaljii: Astonished &amp; Proud ... Idhu Tamil Naadu da...  #ChennaiFloods 

So cool even during distress ... https://t.co/w9rV8n87QE"
91,Sat Dec 05 19:12:39 +0000 2015,RT @Varun_dvn: Thank you @RanaDaggubati for the call and helping me in the right directions #ChennaiFloods
92,Sat Dec 05 19:12:43 +0000 2015,Humanity wins the natural calamity. I love Chennai #Chennaifloods
93,Sat Dec 05 19:12:48 +0000 2015,"RT @sriram_madhavan: For food water and blankets. Please contact 9566135998, 8056203222, 9500097369. #ChennaiRainsHelp #ChennaiMicro #Chenn…"
94,Sat Dec 05 19:12:49 +0000 2015,RT @ArunbajpaiRajan: सेक्युलरपंथीयों जरा आंख खोलकर देख लो...ये हिन्दू भगवा गुण्डे और असहिष्णु लोग कर क्या रहे है? #ChennaiFloods मे सेवा॥ h…
95,Sat Dec 05 19:12:49 +0000 2015,"@thisis_VSr https://t.co/45u7upFpbV
https://t.co/zdaYkM4NSK"
96,Sat Dec 05 19:12:52 +0000 2015,"RT @ArunbajpaiRajan: सेकुलर जमात के मोतियाबिंद मरीजो गौर से देखो,ये भगवाधारी असहिष्णु,बिना धर्म देखे सबकी सेवा मे डटे है॥
#ChennaiFloods ht…"
97,Sat Dec 05 19:12:53 +0000 2015,Muslims providing food in HinduTemples! #ProudToBeAMuslim #ChennaiRainsHelp #ChennaiFloods #IAmAChennaiHelperfromPak https://t.co/yCCKQVYvNN
98,Sat Dec 05 19:12:58 +0000 2015,RT @ishafoundation: Join Isha’s flood relief operations.Donate for #ChennaiFloods  https://t.co/fXmczowFUp https://t.co/NAW4a6LTwb
99,Sat Dec 05 19:13:01 +0000 2015,RT @srpchennai: Accommodation n Food available for 50 ppl in Royapettah and Adyar Contact Rajeswari 8056266296 @actor_viishnu @selvaraghava…
100,Sat Dec 05 19:13:01 +0000 2015,Please share @AadhiOfficial  ty #donate #ChennaiMicro #ChennaiFloods #SanitaryNapkins #undergarments https://t.co/pKBksIKmMd
101,Sat Dec 05 19:13:01 +0000 2015,"RT @CinemaVikatan: நடிகா் மயில்சாமி வெள்ளத்தால் பாதிக்கபட்ட மக்களுக்கு நிவாரணப் பொருட்கள் வழங்கினார்.  

#ChennaiRains #ChennaiFloods https…"
102,Sat Dec 05 19:13:03 +0000 2015,"#VERIFIED.... 
#ChennaiRainsHelp 
#ChennaiFloods 
#ChennaiMicro https://t.co/vZj4FDJY2u"
103,Sat Dec 05 19:13:04 +0000 2015,"RT @Beingmerin: Amma administration sucks , ADMK  adimaiga ithaium justify pannuvaanunga   :((( #ChennaiFloods https://t.co/OvawiRiGea"
104,Sat Dec 05 19:13:06 +0000 2015,https://t.co/nTPgqsAC3H #ChennaiFloods #ChennaiRainsHelp #ChennaiMicro #NeedFood
105,Sat Dec 05 19:13:07 +0000 2015,"RT @riazgenuine: Guys who can, do contribute and spread the word. #ChennaiFloods #ChennaiRainsHelp https://t.co/KWIBnUFzF6"
106,Sat Dec 05 19:13:11 +0000 2015,RT @SLDFC: #ChennaiFloods #Dhanush helping for peoples Hats off @dhanushkraja #LetsPrayForTamilNadu soon recover #godbless https://t.co/Kim…
107,Sat Dec 05 19:13:14 +0000 2015,"RT @Sachin3S: Is this True ? #RSS man found robbing jewellery,Cash &amp;valuable stuff in #ChennaiFloods ?

#BalNarendraFullTicket https://t.co…"
108,Sat Dec 05 19:13:14 +0000 2015,RT @ranganadan86: #ChennaiFloods #ChennaiMicro https://t.co/VwaFh8YMZA
109,Sat Dec 05 19:13:15 +0000 2015,RT @riazgenuine: #ChennaiMicro #ChennaiFloods #ChennaiRainsHelp My volunteering friend requests more food aid. Contact 97909 77790. https:/…
110,Sat Dec 05 19:13:16 +0000 2015,#ChennaiRainsHelp #ChennaiFloods #ChennaiMicro #chennairain  https://t.co/FJIEIZ1eqU
111,Sat Dec 05 19:13:16 +0000 2015,RT @TV9Telugu: Want to donate #ChennaiFloods ? Then Send Your Contribution to @Actor_Siddharth &amp; @RJ_Balaji 's #ChennaiMicroFund !! https:/…
112,Sat Dec 05 19:13:17 +0000 2015,#ChennaiFloods #ChennaiRains! no MPs seen... Amma not seen....  Loads of police seen around MPs houses and people die alone.  #ShameAmma
113,Sat Dec 05 19:13:17 +0000 2015,"RT @ishafoundation: Today's outreach in Chennai,Cuddalore &amp; Vilupuram-Total
Amenities 12000 ppl
MedicalCamp 3000+ ppl
Pranam donors &amp; volun…"
114,Sat Dec 05 19:13:18 +0000 2015,Dated 5 Dec/ 11 pm #ChennaiMicro #ChennaiFloods #ChennaiRainsHelp https://t.co/t2z0HXmr4L
115,Sat Dec 05 19:13:21 +0000 2015,RT @ishafoundation: Isha Vol  in  #ChennaiFloods relief efforts https://t.co/R4X4ZhUKiM
116,Sat Dec 05 19:13:21 +0000 2015,RT @sachin_rt: Praying that each of you will overcome these challenging times and bounce back to normalcy #ChennaiFloods
117,Sat Dec 05 19:13:22 +0000 2015,RT @BhattIYC: अगर ये सत्य है तो घिन आती है संघ परिवार से.. अब इससे ज्यादा राष्ट्रवाद तुम और क्या दिखाओगे? #ChennaiFloods https://t.co/yL4OJ…
118,Sat Dec 05 19:13:24 +0000 2015,RT @Troll_Cinema: What did the Rain Teach you today? #ChennaiFloods #Cuddaloreflood https://t.co/nCMso5CXON
